    "06-14-041-701-16500-0000",
    "19-08-072-215-00500-0000",
    "21-05-040-097-56801-0000",
    "19-04-066-080-02600-0000",
    "19-04-062-070-00661-0000",
    "19-38-050-040-39550-0000",
    "37-39-040-050-01800-0000",
    "19-04-061-160-01400-0000",
    "19-04-061-230-00400-0000",
    "19-04-062-090-00700-0000",
    "38-29-300-012-10400-0000",
    "30-16-031-200-03700-0000",
    "19-01-052-810-03800-0000"
